40,40
5,5
-40,-40
54.0680416796497,142.546280442895
43.9582070026178,119.520151634855
40,90
43.9582070026178,60.479848365145
54.0680416796497,37.4537195571051
43.9582070026178,157.824007411097
27.9908907177828,136.780821106286
20,90
27.9908907177828,43.2191788937142
43.9582070026178,22.1759925889033
40,180
20,180
0,0
20,0
40,0
43.9582070026178,202.175992588903
27.9908907177828,223.219178893714
20,270
27.9908907177828,316.780821106286
43.9582070026178,337.824007411097
54.0680416796497,217.453719557105
43.9582070026178,240.479848365145
40,270
43.9582070026178,299.520151634855
54.0680416796497,322.546280442895
